,Building condition,Number of frontages,Living area,Kitchen type,Bedrooms,Bathrooms,Furnished,Surface of the plot,Garden surface,Price,Swimming pool,Neighbourhood or locality,Terrace
236,Good,4,103  m² square meters,,2,1,No,2710  m²  square meters,2573  m²  square meters,"€ 230,000  230000 €",,,
237,Good,4,344  m² square meters,Installed,7,2,No,1526  m²  square meters,1526  m²  square meters,"€ 398,500  398500 €",No,,Yes
238,As new,,144  m² square meters,Installed,3,1,,841  m²  square meters,,"€ 359,000  359000 €",No,,
239,As new,2,335  m² square meters,USA hyper equipped,4,2,No,,100  m²  square meters,"€ 1,100,000  1100000 €",No,,
240,Good,,230  m² square meters,Installed,4,,No,4238  m²  square meters,,"€ 365,000  365000 €",,,Yes
241,Good,4,385  m² square meters,Semi equipped,5,2,,1614  m²  square meters,,"€ 590,000  590000 €",,,Yes
242,To renovate,2,215  m² square meters,,5,1,No,95  m²  square meters,,"€ 500,000  500000 €",No,,
243,Good,3,135  m² square meters,,3,2,,254  m²  square meters,,"€ 249,000  249000 €",,,
244,As new,3,183  m² square meters,USA hyper equipped,4,1,No,79  m²  square meters,,"€ 349,000  349000 €",,,
245,As new,3,158  m² square meters,Installed,3,1,No,660  m²  square meters,462  m²  square meters,"€ 325,000  325000 €",No,,
246,Good,4,210  m² square meters,USA hyper equipped,5,2,,1102  m²  square meters,650  m²  square meters,"€ 650,000  650000 €",,,
247,,3,126  m² square meters,Installed,3,2,,,,"€ 310,000  310000 €",,,Yes
248,To be done up,2,178  m² square meters,Not installed,5,1,No,60  m²  square meters,,"Make an offer starting from  € 159,000  Make an offer starting from  159000 €",,,
249,As new,3,170  m² square meters,Installed,3,1,No,471  m²  square meters,230  m²  square meters,"€ 310,000  310000 €",,,
250,Good,3,152  m² square meters,Installed,4,1,No,100  m²  square meters,,"€ 249,000  249000 €",,,
251,To renovate,,126  m² square meters,Not installed,3,1,,350  m²  square meters,,"€ 195,000  195000 €",,,
252,To be done up,,272  m² square meters,Semi equipped,4,,No,290  m²  square meters,253  m²  square meters,"€ 285,000  285000 €",,,
253,Just renovated,2,200  m² square meters,Hyper equipped,3,1,,250  m²  square meters,,"Make an offer starting from  € 300,000  Make an offer starting from  300000 €",,,
254,As new,2,16  m² square meters,Semi equipped,1,1,,,,"€ 115,000  115000 €",,,
255,Just renovated,2,235  m² square meters,Installed,3,1,,,,"€ 265,000  265000 €",,,Yes
256,As new,,255  m² square meters,Installed,5,1,,839  m²  square meters,,"€ 580,000  580000 €",No,,
257,,3,163  m² square meters,Installed,3,1,,426  m²  square meters,,"€ 335,923  335923 €",,,
259,Good,2,200  m² square meters,Installed,3,1,No,319  m²  square meters,140  m²  square meters,"€ 280,000  280000 €",,Grand Liège,
260,To be done up,2,256  m² square meters,USA semi equipped,2,1,No,125  m²  square meters,,"€ 595,000  595000 €",,Gent en omstreken,
261,Good,3,204  m² square meters,Not installed,3,1,No,635  m²  square meters,476  m²  square meters,"€ 199,000  199000 €",No,Hannut,
262,,3,155  m² square meters,,4,1,No,562  m²  square meters,,"€ 265,000  265000 €",No,,Yes
263,Good,3,,Installed,9,5,No,1089  m²  square meters,,"€ 750,000  750000 €",,,Yes
264,As new,4,220  m² square meters,,3,2,,848  m²  square meters,,"€ 685,000  685000 €",No,,
265,To be done up,4,130  m² square meters,Semi equipped,4,1,,1714  m²  square meters,,"Make an offer starting from  € 395,000  Make an offer starting from  395000 €",,,
266,Good,3,660  m² square meters,,12,8,No,406  m²  square meters,,"Make an offer starting from  € 750,000  Make an offer starting from  750000 €",No,,
267,Good,2,122  m² square meters,Installed,2,1,No,83  m²  square meters,22  m²  square meters,"€ 219,500  219500 €",No,,
268,,4,140  m² square meters,Installed,3,1,,2590  m²  square meters,,"€ 350,000  350000 €",,,
269,To renovate,2,168  m² square meters,Semi equipped,2,2,,450  m²  square meters,285  m²  square meters,"Make an offer starting from  € 219,000  Make an offer starting from  219000 €",,,
270,,2,150  m² square meters,,4,1,No,79  m²  square meters,,"€ 385,000  385000 €",,,
271,Good,4,655  m² square meters,,12,,No,1288  m²  square meters,873  m²  square meters,"€ 1,099,000  1099000 €",,,
272,Good,2,109  m² square meters,Installed,3,,,177  m²  square meters,,"€ 294,000  294000 €",,,
273,Good,4,116  m² square meters,Installed,2,,No,183  m²  square meters,,"€ 190,000  190000 €",,,Yes
274,Good,3,110  m² square meters,Not installed,3,2,No,295  m²  square meters,160  m²  square meters,"€ 239,500  239500 €",No,Liège,
275,,2,300  m² square meters,Semi equipped,5,3,,280  m²  square meters,,"€ 545,000  545000 €",,,Yes
276,Good,2,151  m² square meters,Installed,4,1,,,20  m²  square meters,"€ 425,000  425000 €",,,Yes
277,As new,3,204  m² square meters,Hyper equipped,2,1,No,461  m²  square meters,130  m²  square meters,"€ 575,000  575000 €",No,,
278,,2,104  m² square meters,Installed,4,1,No,69  m²  square meters,14  m²  square meters,"€ 430,000  430000 €",No,,
279,To renovate,3,82  m² square meters,Not installed,2,1,,474  m²  square meters,,"€ 85,000  85000 €",,Zone Sud Province du Luxembourg,
281,Just renovated,3,160  m² square meters,Installed,4,,,135  m²  square meters,,"€ 550,000  550000 €",,,Yes
282,To be done up,2,209  m² square meters,Semi equipped,4,1,,275  m²  square meters,,"€ 369,000  369000 €",,,Yes
283,To renovate,2,146  m² square meters,Semi equipped,4,2,No,510  m²  square meters,,"€ 159,000  159000 €",,Famenne - Ardennes,
284,To renovate,4,250  m² square meters,Not installed,3,1,,653  m²  square meters,,"€ 231,000  231000 €",,,
285,Good,4,221  m² square meters,Installed,3,2,,946  m²  square meters,823  m²  square meters,"Make an offer starting from  € 279,000  Make an offer starting from  279000 €",,,
286,To be done up,3,134  m² square meters,Not installed,2,,No,1208  m²  square meters,1208  m²  square meters,"€ 249,000  249000 €",,Famenne - Ardennes,
287,Good,2,118  m² square meters,Installed,2,1,No,265  m²  square meters,200  m²  square meters,"Make an offer starting from  € 109,990  Make an offer starting from  109990 €",No,Wallonne,
288,Good,3,69  m² square meters,Installed,2,,No,210  m²  square meters,,"€ 249,000  249000 €",,,Yes
289,To be done up,4,205  m² square meters,Installed,4,2,No,1393  m²  square meters,,"€ 695,000  695000 €",No,,
290,,4,143  m² square meters,,3,,,678  m²  square meters,,"€ 439,000  439000 €",,,
291,Good,3,118  m² square meters,Installed,2,1,No,305  m²  square meters,,"€ 279,000  279000 €",,GROOT GENT,Yes
292,Good,2,91  m² square meters,Installed,2,1,,103  m²  square meters,,"Make an offer starting from  € 150,000  Make an offer starting from  150000 €",,,
293,Just renovated,2,110  m² square meters,USA hyper equipped,3,1,,,,"€ 219,000  219000 €",,,Yes
294,Good,4,146  m² square meters,Installed,3,1,No,991  m²  square meters,828  m²  square meters,"€ 259,000  259000 €",No,,
295,Good,2,353  m² square meters,Installed,5,,No,128  m²  square meters,,"€ 155,000  155000 €",,,
296,Good,4,260  m² square meters,Hyper equipped,7,4,No,2385  m²  square meters,2000  m²  square meters,"€ 2,450,000  2450000 €",Yes,R Schaerbeek,
297,Good,4,172  m² square meters,Semi equipped,4,,,1260  m²  square meters,70  m²  square meters,"€ 349,000  349000 €",No,,
298,To renovate,4,,,3,1,,,240  m²  square meters,"€ 230,000  230000 €",,,Yes
299,,2,231  m² square meters,,2,1,,210  m²  square meters,,"€ 115,000  115000 €",,,
300,Just renovated,4,533  m² square meters,USA hyper equipped,5,,No,5631  m²  square meters,,"€ 1,950,000  1950000 €",Yes,,Yes
301,Just renovated,2,276  m² square meters,Hyper equipped,4,3,No,136  m²  square meters,50  m²  square meters,"€ 2,200,000  2200000 €",,Sablon,
302,Good,4,400  m² square meters,Not installed,13,11,,20782  m²  square meters,,"€ 750,000  750000 €",,,
303,Good,,,Installed,6,3,,6300  m²  square meters,6500  m²  square meters,,Yes,,Yes
304,To renovate,2,111  m² square meters,Semi equipped,4,1,,,,"€ 249,000  249000 €",,,
305,Just renovated,3,160  m² square meters,Installed,3,2,,324  m²  square meters,120  m²  square meters,"€ 465,000  465000 €",No,,
306,Good,4,309  m² square meters,,5,2,No,1400  m²  square meters,,"€ 395,000  395000 €",No,,
307,As new,4,352  m² square meters,Installed,4,2,,1400  m²  square meters,10  m²  square meters,"€ 979,000  979000 €",Yes,,
308,,2,160  m² square meters,,3,1,,111  m²  square meters,,"€ 285,000  285000 €",,,Yes
309,To renovate,3,146  m² square meters,Semi equipped,3,1,No,343  m²  square meters,,"€ 335,000  335000 €",,,Yes
310,,2,180  m² square meters,,4,,No,80  m²  square meters,,"€ 249,000  249000 €",No,,
311,Good,4,253  m² square meters,Installed,3,1,,850  m²  square meters,752  m²  square meters,"Make an offer starting from  € 369,000  Make an offer starting from  369000 €",,,
312,To be done up,4,216  m² square meters,Semi equipped,4,1,,905  m²  square meters,,"€ 273,000  273000 €",,,
313,Good,3,113  m² square meters,,2,1,,905  m²  square meters,801  m²  square meters,"Make an offer starting from  € 219,900  Make an offer starting from  219900 €",,,
314,To renovate,2,156  m² square meters,,3,1,,278  m²  square meters,140  m²  square meters,"€ 375,000  375000 €",,,Yes
315,Good,,218  m² square meters,Installed,3,,No,176  m²  square meters,176  m²  square meters,"€ 249,000  249000 €",,,Yes
316,Good,2,250  m² square meters,Installed,5,2,No,264  m²  square meters,200  m²  square meters,"€ 650,000  650000 €",No,,
317,To renovate,3,176  m² square meters,Installed,2,1,No,970  m²  square meters,676  m²  square meters,"€ 229,000  229000 €",,,
318,To renovate,2,52  m² square meters,,2,1,No,183  m²  square meters,,"€ 89,000  89000 €",No,,
319,Good,3,191  m² square meters,Installed,3,1,No,1514  m²  square meters,600  m²  square meters,"€ 478,000  478000 €",,,
320,As new,,463  m² square meters,Installed,7,,No,1112  m²  square meters,,"€ 595,000  595000 €",,,Yes
321,Good,2,294  m² square meters,,,,No,758  m²  square meters,,"€ 450,000  450000 €",,,
322,Just renovated,2,118  m² square meters,Installed,2,1,No,60  m²  square meters,,"€ 162,000  162000 €",,,Yes
323,Good,4,127  m² square meters,,3,1,,790  m²  square meters,790  m²  square meters,"€ 320,000  320000 €",,,Yes
324,,,275  m² square meters,,4,1,No,423  m²  square meters,,"Make an offer starting from  € 599,000  Make an offer starting from  599000 €",No,,
325,Good,2,255  m² square meters,USA installed,5,4,No,107  m²  square meters,30  m²  square meters,"€ 825,000  825000 €",No,,Yes
326,To renovate,4,302  m² square meters,Installed,5,1,No,1195  m²  square meters,555  m²  square meters,"€ 269,000  269000 €",No,,
327,Good,4,315  m² square meters,USA hyper equipped,5,1,,288  m²  square meters,,"€ 365,000  365000 €",,,
328,Good,3,219  m² square meters,,4,1,,117  m²  square meters,,"€ 345,000  345000 €",,,Yes
329,As new,4,383  m² square meters,,6,2,,6201  m²  square meters,,"€ 1,130,000  1130000 €",Yes,,Yes
330,Good,3,171  m² square meters,Installed,2,,No,527  m²  square meters,150  m²  square meters,"Make an offer starting from  € 249,000  Make an offer starting from  249000 €",No,Hannut,
331,As new,1,184  m² square meters,,3,2,No,1000  m²  square meters,1000  m²  square meters,"€ 399,000  399000 €",,,
332,Good,3,150  m² square meters,Installed,4,1,,678  m²  square meters,,"Make an offer starting from  € 280,000  Make an offer starting from  280000 €",,,Yes
333,Good,2,147  m² square meters,Installed,2,,No,180  m²  square meters,,"€ 210,000  210000 €",,,
334,Good,3,377  m² square meters,Hyper equipped,5,1,No,975  m²  square meters,,"€ 485,000  485000 €",No,,Yes
335,As new,3,180  m² square meters,USA hyper equipped,3,1,No,195  m²  square meters,80  m²  square meters,"€ 255,000  255000 €",No,Hainaut,
336,Good,3,400  m² square meters,Installed,5,,,,,"€ 473,000  473000 €",,,
337,As new,3,165  m² square meters,Hyper equipped,3,,No,391  m²  square meters,235  m²  square meters,"€ 645,000  645000 €",,,
338,To be done up,3,366  m² square meters,Installed,6,4,,270  m²  square meters,60  m²  square meters,"€ 1,390,000  1390000 €",No,,
339,To be done up,2,245  m² square meters,Not installed,5,2,No,105  m²  square meters,30  m²  square meters,"€ 695,000  695000 €",No,,
340,Just renovated,,135  m² square meters,Installed,2,1,,168  m²  square meters,,"€ 259,000  259000 €",No,,
341,As new,2,,Hyper equipped,5,4,No,325  m²  square meters,,"€ 2,295,000  2295000 €",No,,
342,Good,3,150  m² square meters,Semi equipped,3,1,,115  m²  square meters,,"€ 175,000  175000 €",,,
343,Good,2,286  m² square meters,,6,5,,390  m²  square meters,,"€ 440,000  440000 €",No,,
344,Good,2,421  m² square meters,Hyper equipped,7,2,No,157  m²  square meters,38  m²  square meters,"€ 625,000  625000 €",No,,
345,Good,2,201  m² square meters,,4,2,,622  m²  square meters,,"€ 320,000  320000 €",,urbain,
346,Good,2,190  m² square meters,Installed,5,1,,234  m²  square meters,,"€ 475,000  475000 €",No,,
347,Good,4,430  m² square meters,USA hyper equipped,4,2,No,2630  m²  square meters,,"€ 780,000  780000 €",,,
348,,3,800  m² square meters,,11,6,No,2107  m²  square meters,,"Make an offer starting from  € 900,000  Make an offer starting from  900000 €",No,,
349,To be done up,4,216  m² square meters,Installed,3,1,,796  m²  square meters,,"€ 449,000  449000 €",,,Yes
350,As new,3,220  m² square meters,Installed,4,1,,815  m²  square meters,700  m²  square meters,"€ 695,000  695000 €",,Calme,Yes
351,Good,3,203  m² square meters,,3,1,,280  m²  square meters,,"€ 297,000  297000 €",,,Yes
352,Good,2,100  m² square meters,,3,1,,410  m²  square meters,193  m²  square meters,"€ 220,000  220000 €",,,
353,To renovate,4,155  m² square meters,,3,1,No,2300  m²  square meters,,"€ 300,000  300000 €",No,,
354,Good,2,80  m² square meters,,2,1,No,32  m²  square meters,,"€ 445,000  445000 €",,,
355,To restore,3,318  m² square meters,Semi equipped,5,1,,1718  m²  square meters,545  m²  square meters,"€ 349,000  349000 €",,,
356,Good,3,94  m² square meters,Installed,2,1,,,,"€ 145,000  145000 €",,,Yes
357,Good,3,91  m² square meters,Installed,2,1,No,87  m²  square meters,,"€ 139,000  139000 €",No,Liège,
358,Good,2,75  m² square meters,Semi equipped,2,1,No,80  m²  square meters,16  m²  square meters,"€ 295,000  295000 €",,,
359,Good,4,390  m² square meters,Hyper equipped,3,2,,1180  m²  square meters,,"€ 2,850,000  2850000 €",Yes,,Yes
360,,4,330  m² square meters,Installed,8,3,,1440  m²  square meters,1300  m²  square meters,"€ 259,900  259900 €",,,
361,To be done up,2,151  m² square meters,Semi equipped,2,1,,442  m²  square meters,,"€ 165,000  165000 €",,,Yes
362,,2,136  m² square meters,Installed,4,1,No,116  m²  square meters,65  m²  square meters,"€ 219,000  219000 €",,,
363,To be done up,2,146  m² square meters,,3,1,,179  m²  square meters,80  m²  square meters,"€ 119,000  119000 €",,,
364,Good,4,354  m² square meters,Installed,4,2,,4770  m²  square meters,,"€ 649,000  649000 €",,,
365,To renovate,,150  m² square meters,Semi equipped,2,1,,,,"€ 185,000  185000 €",,,
366,Just renovated,3,133  m² square meters,Installed,3,1,No,170  m²  square meters,,"Make an offer starting from  € 179,000  Make an offer starting from  179000 €",No,,
